,full_text,created_at,favorite_count,quote_count,retweet_count,reply_count
1201,This is what is known to space scientists as an orbital burn https://t.co/oUUNO5W0zL,2021-12-05T17:58:28.000Z,73955,477,8645,310
1202,"If someone's political stance requires preventing scientists from informing you about your own planet, that's not politics, it's oppression.",2017-01-24T23:04:42.000Z,70608,800,45568,341
1203,"We got tricked by science fiction into thinking a futuristic city is all about flying cars and crystal towers and hologram billboards but what it really looks like is nice apartment blocks, good mass transit, pedestrian zones with shade trees and safe bike lanes.",2022-07-17T19:45:40.000Z,60702,434,9395,511
1204,"I can't believe we STILL have to remind people of this after A YEAR AND A HALF but: 

If your pet appears on the Zoom, you are REQUIRED to introduce it so the rest of us may address it by name",2021-07-07T14:43:29.000Z,57301,527,7503,302
1205,"🌓🌎🌞 &lt;-- lunar eclipse

🌎🌓🌞 &lt;-- solar eclipse

🌎🌞🌗 &lt;-- apocalypse",2014-10-05T09:40:35.000Z,54935,979,43118,340
1206,Weekends are a constant battle between “I should do all the work I put off during the week!” and “taking time off is important to recharge!” but it’s okay because I usually find a nice compromise in which I lounge around feeling guilty and accomplishing nothing,2021-08-15T18:49:27.000Z,42795,498,6419,201
1207,&lt;physics has left the chat&gt;,2023-01-05T17:37:00.000Z,40257,74,2461,457
1208,Any president who would prefer civil war to being removed from office does not love their country and is certainly not serving it,2019-09-30T02:51:47.000Z,36687,165,6138,311
1209,"The point of Twitter verification is that for certain individuals/organizations it’s useful to be able to verify their statements are coming from them. (This is why so many journalists/reporters are verified.) It’s supposed to help combat disinformation, not be a status symbol.",2022-10-31T01:28:43.000Z,36264,361,4691,280
1210,The perpetrator of the crime is not the one who gets to decide it's time to move on and heal,2021-01-08T21:37:31.000Z,32625,159,5434,96
1211,Please do not fall prey to the idea that any activity that does not measurably advance your career is somehow necessarily harming it. You have only this one beautiful life; do not avoid living it for fear that your total productive output might be less than the theoretical max.,2019-05-02T19:49:26.000Z,30625,429,8043,136
1212,Nothing exemplifies a complete failure to understand the point of science like demanding to settle a scientific issue through the medium of emotionally persuasive public shouting,2023-06-18T11:15:13.000Z,29711,162,4312,105
1213,"This is not the day after the election, this is the election. Mail-in ballots are not late ballots, they are ballots. The election &amp; counting are working the way they were designed to work: all the ballots that were validly cast must be counted; they are votes. It just takes time",2020-11-04T16:14:35.000Z,28749,210,6246,81
1214,"Scientific evidence suggests human-caused climate change is making extreme weather events more common.

This is not a political statement.",2017-09-08T00:54:41.000Z,26200,236,11268,263
1215,"Christ, the problem is not ANXIETY about the virus the problem is THE VIRUS which is still actively spreading, potentially deadly, and which still has no effective vaccine or treatment. Not wanting to go out is RATIONAL right now. Stay home if you can. Protect yourself &amp; others.",2020-06-14T19:27:17.000Z,26203,123,10440,141
1216,I will never forgive the entertainment industry for convincing so many people that persistence in the face of rejection is a successful courtship strategy or that a grand romantic gesture can substitute for actual two-way communication,2021-05-23T19:40:43.000Z,25835,168,3957,180
1217,"So, hypothetically… if you control every branch of power, kill a couple popular programs for no reason, then try unsuccessfully to use them as leverage &amp; end up shutting down your own government… maybe you are bad at governing &amp; shouldn’t.",2018-01-20T13:33:34.000Z,24127,260,7891,181
1218,"Academics: please, your recommendation letter does not need to include that the postdoc candidate is “a very pretty and pleasant girl” 😑",2022-11-22T04:03:39.000Z,23943,242,1233,472
1219,Update: no longer true,2021-09-22T00:16:35.000Z,23518,40,4156,87
1220,Existing as a woman on the internet is like if every time you sit down for a meal a stranger sidles up to you and explains in detail how to use a fork. (“Why are you being so hostile? I am just trying to help!!”),2019-08-01T21:00:35.000Z,22552,111,3286,174
1221,Poverty can be reduced by giving people money to improve their lives with; it’s been proven time and time again. But this solution is constantly resisted because it doesn’t uphold the oppressive notion that poor people naturally make bad choices and don’t “deserve” to be secure.,2020-10-08T22:43:48.000Z,22353,99,8983,99
1222,"1) It already passed by harmlessly

2) It was more than 10 times farther away from us than the Moon

3) It’s so harmless NASA removed it from the potential impact list back in 2008

4) Please do not get astronomy news from TMZ https://t.co/pDWhlCvi64",2021-07-26T03:40:35.000Z,21825,166,3812,165
1223,Japan has 1700 miles of high-speed train lines that can go up to 200 mph. The system has been in use for half a century.,2020-11-11T15:52:51.000Z,21723,278,4935,379
1224,"Commentators online: Don’t worry about Covid! If you’re healthy &amp; vaccinated it’s just a little flu!

Actual people I know: It’s day 14, still testing positive, fever is worse, can barely move, feel like death… [2 months later] still fatigued with brain fog but can jog sorta…",2022-06-05T19:25:25.000Z,21724,236,3296,352
1225,If you see someone walking around outdoors wearing a mask even though the CDC says it’s safe to go without that’s a good opportunity to mind your own business.,2021-05-05T00:43:34.000Z,20871,135,2239,110
1226,"You can tell when someone actually wants to reduce abortion because they support the things that make it rare, like increased access to birth control and good sex education. If they oppose those things too, they just want to use babies as a punishment for having unauthorized sex.",2021-09-06T14:42:10.000Z,20645,106,3792,149
1227,"If Twitter had a reporting button for “incorrectly and condescendingly explaining an expert’s field of expertise to them,” it would save us all so much time",2019-11-30T03:38:01.000Z,19733,111,1927,170
